Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
AerCap Holdings N.V. (NYSE:AER)	NYSE:AER	"8,090.00"	"33,696.30"	"4,961.80"	"2,345.30"	8.1	8.86	31.3	13.5	47.63	169.9		1.1	"8,582.30"	"41,442.90"	"32,865.90"	5.52	5.52	5.88	5.88	12.7	3.4	53.6	21.7	320.9	11	0.494	6.28
"Aerie Pharmaceuticals, Inc. (NasdaqGM:AERI)"	NasdaqGM:AERI	"1,998.10"	"1,913.90"		99.2	NM	NM			55.6	35.9		15.5	105.3	225.4	141.3	3.4	3.4	3.31	3.31	243.3	34.3			147			
AeroCentury Corp. (AMEX:ACY)	AMEX:ACY	20.8	147.3	26.8	15.6	16.2	77	8.2	3.35	14.7	1.42		21.7	42.5	222	181.4	0.78	0.78	0.908	0.908	3.47	1.75	88	5.34	318.3	106.4	51.9	
"Aerohive Networks, Inc. (NYSE:HIVE)"	NYSE:HIVE	254.7	199.9	166	27.5	NM	NM			4.82	52.8		2.26	28.7	128.9	105.8	0.733	0.733	0.653	0.653	120.4	14.1	67.6	20.1	86.6			23
"Aerojet Rocketdyne Holdings, Inc. (NYSE:AJRD)"	NYSE:AJRD	"1,679.20"	"1,921.90"	"1,809.70"	159.3	83				22.54	74.5		1.58	34.5	"2,255.20"	"2,166.40"	0.268	0.27	0.27	0.272			13.2	1.04	703.6	18.2	0.5	8
"AeroVironment, Inc. (NasdaqGS:AVAV)"	NasdaqGS:AVAV	918.4	719.2	264.9	21.8	73.1	38.5	16.9	7.83	39.47	23.3		7.37	382.2	432.5	50.3	0.54	0.54	0.54	0.54	3.35	2.19	38.9	4.7	0.117	0.37	17.7	35.8
Aeterna Zentaris Inc. (TSX:AEZS)	TSX:AEZS	15.6	3.09	0.93	27.8	NM	NM			1.07	14.6		5.6	6.21	28.1	22.7	2.41	2.41	2.28	2.28	234.8	48.6	100					
"Aethlon Medical, Inc. (NasdaqCM:AEMD)"	NasdaqCM:AEMD	17.4	16.3	0.392	6.07	NM	NM			1.96	8.87		2.61	0.595	1.73	1.13	0.937	0.937	0.937	0.937	696.6	179.1	100		87.2			
Aetna Inc. (NYSE:AET)	NYSE:AET	"51,503.10"	"57,126.10"	"62,627.00"	"5,734.00"	47.4	50.8	8.62	0.486	155.27	331.7	1.29	0.761	"17,943.00"	"56,351.00"	"42,013.00"	6.41	6.41	3.28	3.28	7.3	5.61	25.8	1.82	65.7	9.24	9.98	10
"Aevi Genomic Medicine, Inc. (NasdaqGM:GNMX)"	NasdaqGM:GNMX	49.4	20.2		41.4	NM	NM			1.33	37.1		5.54	35	30.5	5.45	1.19	1.19	1.15	1.15	125	68.8						
Affimed N.V. (NasdaqGM:AFMD)	NasdaqGM:AFMD	107.6	55.3	5.16	34.1	NM	NM			2.45	43.9		9.13	40.9	61	10.1	1.02	1.02	0.962	0.962	58.7	31.5	100		9.85			
Aflac Incorporated (NYSE:AFL)	NYSE:AFL	"30,902.40"	"33,429.40"	"22,702.00"	"4,590.00"	12.7	1.22	4.34	7.26	77.87	396.8	2.21	0.372	"20,482.00"	"133,650.00"	"113,310.00"	6.42	6.42	6.15	6.15	12.5	2.17	31.9	11.1	33.1	4.26	0.209	
"AG Mortgage Investment Trust, Inc. (NYSE:MITT)"	NYSE:MITT	510.9		109.2		6.59	NM			18.44	27.7	10.3	0.088	655.9	"2,620.60"	"1,956.00"	1.8	1.8	2.8	2.8	13.9	3.09	99.7	83.6	286.2	8.08	3.42	5
AGCO Corporation (NYSE:AGCO)	NYSE:AGCO	"5,586.60"	"7,256.10"	"7,478.80"	575.5	39.9	38.1	22.6		70.28	79.5	0.797	1.55	"2,837.20"	"7,394.60"	"4,518.60"	1.96	1.96	1.76	1.76	4.88	2.61	20.5	1.9	65.9	12.2	18.3	13.5
Agenus Inc. (NasdaqCM:AGEN)	NasdaqCM:AGEN	434.1	445.2	43.6	85.4	NM	NM			4.38	99.1		3.8	39.1	203.3	194.4	1.46	1.46	1.27	1.27	421	26.7	135.4	257.8	"1,514.20"			
"Agile Therapeutics, Inc. (NasdaqGM:AGRX)"	NasdaqGM:AGRX	114.6	88.1		29.8	NM	NM			3.98	28.8		3.82	42.3	56.6	21	1.02	1.02	1.01	1.01	59.9	27.2			42.7			
"Agilent Technologies, Inc. (NYSE:A)"	NYSE:A	"19,768.70"	"19,425.70"	"4,324.00"	983	34.6	26.9	10.6	1.91	61.52	321.3	0.858	3.2	"4,246.00"	"8,016.00"	"3,641.00"	1.4	1.4	1.78	1.78	13.6	6.05	53.1	13.5	46.7	12.6	13.1	9.35
"Agilysys, Inc. (NasdaqGS:AGYS)"	NasdaqGS:AGYS	249	200	127.7	7.62	NM	NM			10.73	23.2		1.59	113.7	167.3	53.6	0.518	0.518	0.518	0.518	9.89	3.56	50	9.18	0.209			25
"Agios Pharmaceuticals, Inc. (NasdaqGS:AGIO)"	NasdaqGS:AGIO	"2,786.70"	"2,307.00"	49.1	238.4	NM	NM			57.81	48.2		6.15	358.6	557.3	249.9	5.07	5.07	6	6	75.5	32						
AGNC Investment Corp. (NasdaqGS:AGNC)	NasdaqGS:AGNC	"7,683.40"		"1,560.00"		4.96	NM	8.21		21.61	355.5	10	0.253	"7,356.00"	"56,838.00"	"49,546.00"	1.79	1.79	4.36	4.36	19.7	2.47	98.4	94.3	546.9	2.2	0.673	0.562
Agnico Eagle Mines Limited (NYSE:AEM)	NYSE:AEM	"10,214.90"	"10,493.00"	"2,195.20"	921.4	49.6	728.3		2.9	44.6	229	0.897	3.55	"4,492.50"	"7,397.30"	"2,618.80"	0.7	0.7	0.9	0.9	4.58	2.85	53.5	9.43	25.3	31.9	28.3	1
Agrium Inc. (TSX:AGU)	TSX:AGU	"13,607.20"	"18,693.90"	"13,660.00"	"1,570.00"	22.3	39.7	15	23	98.48	138.2	3.55	1.19	"6,174.00"	"17,758.00"	"11,676.00"	4.29	4.29	4.2	4.2	9.6	3.59	24.9	4.27	83.7	6.87	12.8	12.5
"AgroFresh Solutions, Inc. (NasdaqGS:AGFS)"	NasdaqGS:AGFS	412.3	735.4	164	67.7	NM	NM			8.2	50.3		2.01	335.1	955	633.5	2.26	2.26	1.99	1.99	26.6	1.56	81.6	60	126.9			
"Aileron Therapeutics, Inc. (NasdaqGM:ALRN)"	NasdaqGM:ALRN	199.9	315		18.6	NM	NM			13.59	14.7		5.57	17.9	17.2	2.88	42.3	42.3	43.7	43.7	212.6							
"Aimmune Therapeutics, Inc. (NasdaqGS:AIMT)"	NasdaqGS:AIMT	"1,067.30"	821		91.6	NM	NM			21.2	50.3		24.3	286	276.3	11.6	1.89	1.89	2.03	2.03	39.8	24.2						
Air Industries Group (AMEX:AIRI)	AMEX:AIRI	33.4	63.4	67.9	5.28	NM	NM			1.47	22.7	0	1.07	24.9	73.6	48.7	2.06	2.06	2.02	2.02	58.7	7.51	9.72	22.6	124.4			
Air Lease Corporation (NYSE:AL)	NYSE:AL	"3,962.60"	"12,909.50"	"1,435.90"		11.4	11.6	33.8		38.41	103.2	0.781	0.779	"3,382.20"	"14,477.00"	"11,017.80"	3.44	3.44	3.36	3.36	11.2	3.96	67.4	25.6	263.1	0.482	8.74	13.8
"Air Products and Chemicals, Inc. (NYSE:APD)"	NYSE:APD	"31,693.50"	"32,333.10"	"9,743.30"	"3,140.30"	21.1	22.4	6.03	6.78	145.57	217.7	2.61	2.03	"7,213.40"	"17,871.50"	"8,451.30"	2.89	6.94	14.5	6.89	18.7	8.02	32.1	15.8	41	18.5	4.18	10.9
"Air T, Inc. (NasdaqCM:AIRT)"	NasdaqCM:AIRT	39.6	52.2	139.4	3.26	NM				19.4	2.04		2.72	35.3	62	38.8	2.06	2.06	1.29	1.29	23.2	7.33	14.4	5.02	84.1			
"Air Transport Services Group, Inc. (NasdaqGS:ATSG)"	NasdaqGS:ATSG	"1,380.50"	"1,861.30"	829.4	211.3	71.4	44.6	5.32	14	23.35	59.1		0.939	331.9	"1,340.80"	999.7	0.369	0.33	0.368	0.327	6.05	3.4	33.1	2.74	149.1	64.7	46.2	15
Aircastle Limited (NYSE:AYR)	NYSE:AYR	"1,705.70"	"5,800.50"	788.4		10.8	40.6	5.39	5.47	21.67	78.7	4.8	15	"1,834.30"	"7,740.90"	"5,884.80"	1.92	1.92	2	2	8.69	3.58	59.8	20	267.8	10.9	6.35	7.75
"Airgain, Inc. (NasdaqCM:AIRG)"	NasdaqCM:AIRG	130.1	90.6	46.2	4.63	34.3	NM			13.67	9.52		6.38	45	55.1	9.25	0.399	0.399	0.399	0.399	12.1	6.85	45.2	6.6	5.09	35	52.5	18
AirMedia Group Inc. (NasdaqGS:AMCN)	NasdaqGS:AMCN	148.9	29.1	16.5	76	NM	NM			2.37	62.8		2.28	266.6	381.2	114.6	1.05	1.05	1.05	1.05	26.9	12.2	197					
AK Steel Holding Corporation (NYSE:AKS)	NYSE:AKS	"2,046.40"	"4,077.70"	"5,897.10"	670.6	25.2	NM		8.28	6.5	314.8		1.85	90.7	"4,104.40"	"3,969.60"	0.033	0.033	0.258	0.258	NM	6.68	15	2.25	"1,374.60"	3.51	21.4	5
"Akamai Technologies, Inc. (NasdaqGS:AKAM)"	NasdaqGS:AKAM	"8,750.90"	"8,551.50"	"2,381.60"	706.8	27.7	3.38	11.7	17	50.62	172.9		3.66	"3,224.40"	"4,450.00"	"1,191.40"	1.79	1.79	1.83	1.83	10.1	6.6	65.6	13.5	19.8	5.53	2.56	13.2
"Akari Therapeutics, Plc (NasdaqCM:AKTX)"	NasdaqCM:AKTX	53.6	18.6		31.6	NM	NM			4.55	11.8		2.58	34.1	36.5	14.1	2	2	2.75	2.75	80.7	39.8						
"Akcea Therapeutics, Inc. (NasdaqGS:AKCA)"	NasdaqGS:AKCA	479.6	546.6	9.6	127.2		NM			9.48	50.6		1.65	17.7	133	207.9	1.13	1.13	1.73	1.73	NM	80.4			NM			
"Akebia Therapeutics, Inc. (NasdaqGM:AKBA)"	NasdaqGM:AKBA	652.6	400.8	22.4	154.5	NM	NM			13.86	47.1		1.91	68.1	259.3	228.6	3.6	3.6	4.05	4.05	155.8	40.3			0.016			
"Akers Biosciences, Inc. (AIM:AKR)"	AIM:AKR			2.89	4	NM	NM						3.92	3.39	7.11	1.36	0.608	0.608	0.54	0.54	57.9	38.9	60.5	108.8				
"Akorn, Inc. (NasdaqGS:AKRX)"	NasdaqGS:AKRX	"4,197.70"	"4,700.20"	"1,101.90"	445.8	23	16.8	31.2		33.65	124.8		4.21	819.2	"2,025.70"	"1,155.30"	1.47	1.47	1.47	1.47	23.9	11.6	59.9	16.6	93.2	27.8	10.7	10.2
"Akoustis Technologies, Inc. (NasdaqCM:AKTS)"	NasdaqCM:AKTS	142.1	132	0.234	10.5	NM				7.45	19.1		7.9	2.68	11.1	1.3	0.666	0.666	0.827	0.827								
Alamo Group Inc. (NYSE:ALG)	NYSE:ALG	"1,070.50"	"1,127.40"	849.2	91.8	24.7	2.81	5.92	13.7	92.68	11.6	0.432	4.64	387.7	635.1	232.3	3.46	3.46	3.76	3.76	11.2	6.97	24.6	5.13	31.7	14.2	11.2	10
Alamos Gold Inc. (TSX:AGI)	TSX:AGI	"1,981.20"	"1,780.20"	498.9	144.8	NM	NM			6.63	299	0.302	1.71	"1,759.40"	"2,748.50"	742.2	0.07	0.07	0.107	0.107	1.46	0.616	35.9	5.51	15.2			
"Alarm.Com Holdings, Inc. (NasdaqGS:ALRM)"	NasdaqGS:ALRM	"1,712.00"	"1,722.50"	276.3	47.1	160.4	NM			36.96	46.3		2.91	191.2	335.6	137.2	0.21	0.21	0.23	0.23	6.1	8.73	62	4.12	37.1	16.1	16.8	17.6
"Alaska Air Group, Inc. (NYSE:ALK)"	NYSE:ALK	"11,449.10"	"12,602.10"	"6,333.00"	"1,746.00"	15.8	15.2	32.4	50.1	92.63	123.6	1.3	0.781	"2,931.00"	"10,302.00"	"7,288.00"	6.54	6.54	5.87	5.87	26.7	10.1	33.6	11.5	95	11.1	9.43	10.2
"Alaska Communications Systems Group, Inc. (NasdaqGS:ALSK)"	NasdaqGS:ALSK	113.6	371.2	227.3	55.2	68.8	NM		26.3	2.17	52.3		3.28	158.9	529.3	370.9	0.047	0.047	0.032	0.032	0.955	2.56	55.5	0.656	169.6			
Albany International Corp. (NYSE:AIN)	NYSE:AIN	"1,730.20"	"2,071.20"	806.8	172.2	34.6	14.7	41.5	0.394	53.9	32.1	1.26	2.58	511.3	"1,262.10"	733.5	1.64	1.64	1.56	1.56	9.6	5.84	37.7	6.26	90.9	14.7	18.6	15
"Albany Molecular Research, Inc. (NasdaqGS:AMRI)"	NasdaqGS:AMRI	919.7	"1,526.00"	628.7	71.8	NM	NM			21.62	42.5		2.31	299	"1,163.50"	866.7	1.83	1.83	1.76	1.76	24.3	0.877	23.5	11.3	216.1	18.9	19.8	15
Albemarle Corporation (NYSE:ALB)	NYSE:ALB	"13,021.10"	"13,625.80"	"2,742.10"	724	47.3	40.1	10.8	3.81	117.57	110.8	1.09	1.98	"3,942.60"	"7,366.50"	"3,582.50"	5.69	3.9	4.12	2.49	8.64	3.95	36.7	11.8	45.3	21.9	18.8	10.4
"Albireo Pharma, Inc. (NasdaqCM:ALBO)"	NasdaqCM:ALBO	225.5	207.8	11.2	10.3	NM	NM			26.55	8.49		2.35	37	40.3	9.1	13.2	13.2	7.2	7.2	172.1		100	176	7.97			
Alcoa Corporation (NYSE:AA)	NYSE:AA	"6,691.60"	"9,625.60"	"9,844.00"	"1,448.00"	195.7	NM			36.32	184.2		1.3	"7,697.00"	"17,076.00"	"8,913.00"	2.19	2.19	0.186	0.186	1.77	2.72	18	1.8	17.8			84.5
Alcobra Ltd. (NasdaqGM:ADHD)	NasdaqGM:ADHD	31.1	14.1		23.5	NM	NM			1.13	27.6		21.1	47.2	46.4	2.19	0.893	0.893	0.836	0.836	42.2	26						
"Alder Biopharmaceuticals, Inc. (NasdaqGM:ALDR)"	NasdaqGM:ALDR	762	472.5	0.113	223.7	NM	NM			11.65	65.4		10.5	382.8	317.8	30.1	3.23	3.23	4.46	4.46	69.2	40.9						
"Aldeyra Therapeutics, Inc. (NasdaqCM:ALDX)"	NasdaqCM:ALDX	74.9	45		18.8	NM	NM			4.95	15.1		13.1	21.7	31.5	3.54	1.65	1.65	1.52	1.52	77.6	42.8			4.72			
Alere Inc. (NYSE:ALR)	NYSE:ALR	"4,391.20"	"7,344.80"	"2,377.60"	318.6	NM	NM			50.26	87.4		2.08	"1,831.60"	"5,673.90"	"3,853.20"	1.83	1.83	2.5	2.5	10	0.638	46.5	8.22	161.7	18.8	0.927	10
"Alexander & Baldwin, Inc. (NYSE:ALEX)"	NYSE:ALEX	"2,074.00"	"2,635.00"	389.3	99.5	64	6.74	51.5		42.2	49.1	0.664	0.998	"1,224.00"	"2,160.60"	935.3	0.182	0.65	0.096	0.66	2.73	1.44	31	8.61	45.8	25.3	7.72	15
Alexco Resource Corp. (TSX:AXR)	TSX:AXR	126.3	107.9	8.22	4.4	NM	NM			1.3	96.9		10.4	67.5	89.1	20.3	0.037	0.037	0.026	0.026	3.85	4.54	9.28	29.1				
"Alexion Pharmaceuticals, Inc. (NasdaqGS:ALXN)"	NasdaqGS:ALXN	"28,453.60"	"30,272.60"	"3,253.00"	"1,256.00"	60.4	218.3	15.9		126.71	224.6		3.27	"8,694.00"	"13,435.00"	"4,579.00"	1.76	1.76	2.1	2.1	5.64	4.19	91.8	14.7	37.1	15.1	19.4	21.8
Algonquin Power & Utilities Corp. (TSX:AQN)	TSX:AQN	"4,019.30"	"8,494.10"	984.7	400.1	67.7	28.8	0.729	6.8	10.45	384.7	4.82	0.85	"1,872.60"	"8,164.80"	"5,448.00"	0.223	0.223	0.146	0.146	2.33	2.27	43.3	5.15	135.4	21.1	14.2	13
Alibaba Group Holding Limited (NYSE:BABA)	NYSE:BABA	"384,032.70"	"381,601.60"	"22,987.10"	"9,164.00"	61.6	39.2	58.9		151.83	"2,529.40"		1.95	"46,639.80"	"73,607.80"	"26,968.00"	2.46	2.46	2.46	2.46	14.4	7.02	63	26	28.6	33.7	33.5	30.7
"Alico, Inc. (NasdaqGS:ALCO)"	NasdaqGS:ALCO	259.9	465.6	125.3	33.6	49	44	19.3		31.35	8.29	0.766	5.47	178.3	460	278.4	0.84	0.84	0.64	0.64	3.01	2.5	25.1	4.31	111.2			
"Align Technology, Inc. (NasdaqGS:ALGN)"	NasdaqGS:ALGN	"12,395.10"	"11,849.50"	"1,151.50"	284.3	57.6	46.4	24.7		154.3	80.3		2.51	995.4	"1,459.30"	414.4	2.33	2.33	2.68	2.68	22.6	12.1	75.6	19		40	29.6	23.1
"Alimera Sciences, Inc. (NasdaqGM:ALIM)"	NasdaqGM:ALIM	97.4	173.2	35.2	21.8	NM	NM			1.5	64.9		5.97	25.6	62.6	42.5	0.628	0.628	0.498	0.498	155.7	24.6	92.7	81.8	168.2			
Alio Gold Inc. (TSX:ALO)	TSX:ALO	190.3	150.9	127.6	46.7	2.84	NM	5.08		4.37	43.6		3.63	143.1	173.5	24.2	0.989	0.989	1.46	1.46	41.2	20.9	31.1	38	1.22	57	2.97	
"ALJ Regional Holdings, Inc. (NasdaqGM:ALJJ)"	NasdaqGM:ALJJ	112.1	209.7	294.2	30.7	9.98	39.1	20.7	2.57	3.11	36		1.56	73.9	214	138.9	0.3	0.3	0.312	0.312	15.8	4.73	23.6	3.77	131.6			
Alkermes plc (NasdaqGS:ALKS)	NasdaqGS:ALKS	"9,016.80"	"8,823.50"	780.7	107.3	NM	NM			58.86	153.2		3.6	"1,209.50"	"1,729.80"	513.1	1.38	1.38	1.32	1.32	16.1	7.19	81.5	25.6	23.3			
Alleghany Corporation (NYSE:Y)	NYSE:Y	"9,247.00"	"10,167.20"	"6,184.50"	886.9	20.5	21.5	15.5	0.466	599.73	15.4		1.95	"8,014.70"	"23,939.10"	"15,680.80"	29.6	29.6	29.3	29.3	5.67	1.93	25.4	7.36	17.8	5.18	6.14	
Allegheny Technologies Incorporated (NYSE:ATI)	NYSE:ATI	"1,908.70"	"3,789.40"	"3,243.00"	242.5	NM	NM			17.54	108.8	0	2.22	"1,444.80"	"5,154.40"	"3,665.00"	5.97	5.97	4.86	4.86	28.3	0.874	9.86	15.7	130.6			15
"Allegiance Bancshares, Inc. (NasdaqGM:ABTX)"	NasdaqGM:ABTX	514.1		92.1		22.9	6.61			39.25	13.1			279.8	"2,592.30"	"2,303.20"	1.75	1.75	1.71	1.71	8.12	0.939		24.5		12.4	16.9	
Allegiant Travel Company (NasdaqGS:ALGT)	NasdaqGS:ALGT	"2,356.20"	"2,806.30"	"1,389.00"	431.6	12.4	15.3	32.4	29	141.6	16.6	1.98	0.959	473.6	"1,749.70"	"1,246.60"	13.2	13.2	11.4	11.4	43.7	13.2	38.8	13.6	159.7	25.8	5.72	7.4
Allegion plc (NYSE:ALLE)	NYSE:ALLE	"7,696.30"	"8,962.30"	"2,284.50"	494.5	32.7	43.6			80.77	95.3	0.792	1.86	116.4	"2,185.40"	"2,030.40"	2.36	2.36	2.47	2.47	207.2	12.5	44.2	10.6	936.8	11.6	11.4	12.9
Allergan plc (NYSE:AGN)	NYSE:AGN	"82,572.90"	"110,311.30"	"14,744.20"	"5,796.20"	NM	NM			245.85	335.9	1.14	1.32	"76,200.50"	"126,836.90"	"51,638.10"	38.2	3.17	32.1	9.97	4.46	0.463	87.4	23.1	42.2	19.1	15.3	12.3
"ALLETE, Inc. (NYSE:ALE)"	NYSE:ALE	"3,576.40"	"5,028.70"	"1,371.50"	399.1	22.1	5.94	7.15	0.528	70.29	50.9	3.04	0.989	"1,893.00"	"4,941.90"	"2,940.40"	3.14	3.14	3.18	3.18	8.22	2.79	34.1	11.5	76.6	10.4	8.31	6.6
Alliance Data Systems Corporation (NYSE:ADS)	NYSE:ADS	"14,706.20"	"33,510.10"	"7,341.00"	"1,453.30"	35.1	15.1	5.43	12	264.14	55.7	0.787	2.09	"1,658.20"	"24,642.70"	"23,279.20"	7.34	7.34	7.53	7.53	30.6	2.79	22.1	6.88	"1,516.00"	9.7	12.5	12.8
"Alliance Healthcare Services, Inc. (NasdaqGM:AIQ)"	NasdaqGM:AIQ	143.2	794.8	511.8	127.8	150.8	75		26.3	13.23	10.8		1.09	9.5	645.6	655.6	0.04	0.04	0.088	0.088	NM	5.98	43.5	3.62	NM			
"Alliance Holdings GP, L.P. (NasdaqGS:AHGP)"	NasdaqGS:AHGP	"1,557.60"	"2,636.00"	"1,979.30"	736.4	7.41	19	0.175	9.12	26.02	59.9	8.46	0.958	"1,097.60"	"2,208.80"	"1,058.40"	3.11	3.11	3.51	3.51	37.4	11.3	40.8	19.9	54.3	1.61	3.27	
"Alliance MMA, Inc. (NasdaqCM:AMMA)"	NasdaqCM:AMMA	10.4	7.5	1.35		NM	NM			1.03	10.1		4.53	13.7	14	0.709	0.753	0.753	0.981	0.981	100.4	61.1	36.5					
"Alliance One International, Inc. (NYSE:AOI)"	NYSE:AOI	148.3	"1,107.30"	"1,714.80"	117.7	NM				16.55	8.96		2.12	206.7	"1,971.90"	"1,765.20"	7.05	7.05	7.05	7.05	26.3	2.66	12.7	3.69	691.2			
"Alliance Resource Partners, L.P. (NasdaqGS:ARLP)"	NasdaqGS:ARLP	"1,559.10"	"1,829.40"	"1,979.70"	739.4	5.06	167.4	1.51	10.7	20.9	74.6	8.37	0.945	"1,093.40"	"2,204.30"	"1,058.00"	3.39	3.39	4.13	4.13	37.9	11.4	40.8	20.1	54.5	3.06	10.4	13
Alliant Energy Corporation (NYSE:LNT)	NYSE:LNT	"9,229.90"	"14,045.00"	"3,330.10"	"1,031.70"	24.2	2.03	4.7	0.129	39.97	230.9	3.15	0.644	"4,062.00"	"13,464.90"	"9,368.00"	1.64	1.65	1.65	1.65	9.31	2.98	34.2	11.3	112.9	6.32	6.46	5.9
"Allied Healthcare Products, Inc. (NasdaqCM:AHPI)"	NasdaqCM:AHPI	10.6	9.79	34.9	0.296	NM	NM			2.64	4.01		3.38	18.3	20.6	3.88	0.58	0.58	0.48	0.48	10.7	3.98	20.7	5.37				
Allied Motion Technologies Inc. (NasdaqGM:AMOT)	NasdaqGM:AMOT	269.3	323.8	243.6	27.6	27.3	7.91	5.15	12.2	28.43	9.47	0.352	3.03	72.3	182.4	106	1	1	1.04	1.04	12.8	6	29.6	3.85	89.7	30	20.4	25
"Alliqua BioMedical, Inc. (NasdaqCM:ALQA)"	NasdaqCM:ALQA	17.5	26.9	18.9	20.2	NM	NM			0.38	46		0.427	32.1	49.7	21	1.01	1.16	0.956	1.09	80.2	23.7	59.2	166.2	40.9			15
"Allison Transmission Holdings, Inc. (NYSE:ALSN)"	NYSE:ALSN	"5,866.30"	"8,173.30"	"1,877.20"	662.4	25.7	62.7	17.4		38.59	152	1.55	1.42	"1,080.30"	"4,179.00"	"3,442.00"	1.27	1.27	1.5	1.5	26	7.1	48	13.3	329.3	15.7	11.6	14.5
Allot Communications Ltd. (NasdaqGS:ALLT)	NasdaqGS:ALLT	166.2	54.5	85.9	4.76	NM	NM			5.19	32		5.44	157.3	189	35.4	0.241	0.241	0.265	0.265	5.58	2.77	68.5	10.2				
"Allscripts Healthcare Solutions, Inc. (NasdaqGS:MDRX)"	NasdaqGS:MDRX	"2,215.70"	"3,879.10"	"1,617.80"	153.4	NM				12.21	181.5		0.898	"1,660.90"	"3,799.00"	"2,211.40"	0.14	0.14	0.26	0.26	0.515	1.23	49.2	0.474	83.6	12.3	13.4	11.7
Ally Financial Inc. (NYSE:ALLY)	NYSE:ALLY	"9,854.30"		"6,063.00"		9.65	NM			21.46	459.2	1.49	1.09	"13,317.00"	"162,101.00"	"148,736.00"	2.15	2.24	2.13	2.22	7.92	0.676	94.1	17.8	445.3	4.02	10.3	9.44
Almaden Minerals Ltd. (TSX:AMM)	TSX:AMM	119.4	110.7		4.02	NM				1.19	100.1		18.4	33.7	38.1	1.54	0.036	0.036	0.043	0.043	11.6	7.63						
"Almost Family, Inc. (NasdaqGS:AFAM)"	NasdaqGS:AFAM	816.2	966.3	671.2	41.7	37	19.5	5.7	5.07	58.55	13.9		2.11	304.2	716.3	231.9	1.71	1.71	1.58	1.58	4.87	3.75	46.4	2.81	26.8	1.51	6.12	6.87
"Alnylam Pharmaceuticals, Inc. (NasdaqGS:ALNY)"	NasdaqGS:ALNY	"7,203.70"	"6,794.10"	58.8	407.5	NM	NM			78.74	91.5		6.24	920.2	"1,133.90"	303	4.79	4.79	4.83	4.83	41	21.5	100		18.1			
"Alon USA Partners, LP (NYSE:ALDW)"	NYSE:ALDW	685.8	813	"1,984.30"	116.4	28.3	78.3			10.97	62.5	3.65	0.732	103.5	719.5	602.7	0.07	0.07	0.388	0.388	20.7	5.02	7.45	1.22	202.3			
Alpha and Omega Semiconductor Limited (NasdaqGS:AOSL)	NasdaqGS:AOSL	420.6	335.2	376.7	38.4	36.7	NM	4.73		17.68	23.8		2.97	242	370.2	78.6	0.13	0.13	0.482	0.482	3.14	2.24	22.9	2.2	0.649			
"Alpha Pro Tech, Ltd. (AMEX:APT)"	AMEX:APT	51.2	42.8	45.1	4.25	17.2	155.1	32.2	3.56	3.4	15		13.5	32.7	34.5	2.38	0.188	0.188	0.198	0.198	9.45	6.32	37.8	7.12				
Alphabet Inc. (NasdaqGS:GOOGL)	NasdaqGS:GOOGL	"668,521.50"	"580,019.50"	"94,765.00"	"31,208.00"	33	20.8	12.4	18.2	976.91	691.8		7.13	"139,036.00"	"172,756.00"	"27,807.00"	27.9	27.9	29.6	29.6	15.4	9.67	60.7	21.8	2.72	1.39	8.01	19.8
"Alphatec Holdings, Inc. (NasdaqGS:ATEC)"	NasdaqGS:ATEC	18.3	59.1	114	1.76	NM	NM			1.69	10.9		2.17	17.9	93.6	99.1	3.49	3.07	3.31	3.15	NM	5.06	60.5	24.1	NM			
"Alteryx, Inc. (NYSE:AYX)"	NYSE:AYX	"1,294.20"	"1,129.70"	95.9	20.3	NM				22.18	58.3		2.37	21.6	223.7	90.9	0.946	0.946	0.921	0.921			82.3	24.4				
"Altice USA, Inc. (NYSE:ATUS)"	NYSE:ATUS	"23,431.40"	"47,117.30"	"7,695.30"	"3,071.50"					31.79	737.1	0	0.5	"2,029.80"	"36,179.30"	"34,053.10"					NM	2.81	67.9	9.97	"1,135.80"			55.5
"Altimmune, Inc. (NasdaqGM:ALT)"	NasdaqGM:ALT	41.7	39.8	3.24	10.3	NM	NM			2.7	15.5		0.82	32.2	38.4	6.19	1.24	1.24	1.24	1.24	29.3	14.9	122.4		3.06			
Altisource Portfolio Solutions S.A. (NasdaqGS:ASPS)	NasdaqGS:ASPS	408.3	707.1	987.7	164.1	25.7	68.8	23.1		22.15	18.4		2.96	62.2	653.5	581.1	1.46	1.46	0.863	0.863	29.3	7.49	29.4	1.99	660.2	7.88	39.7	20
Altisource Residential Corporation (NYSE:RESI)	NYSE:RESI	708	"1,942.20"	46	112.2	NM	NM			13.23	53.5	4.54	11	863.1	"2,160.40"	"1,355.20"	4.19	4.19	4.29	4.29	24.6	4.39	215.2		161			10
